DATE;MAC;RSSI;VENDOR;CATEGORIE
9.1.2018 11:02;1C:15:1F:11:56:28;-85;Unknown;Smartphone
9.1.2018 11:09;00:35:66:06:0D:59;-83;Unknown;Handsfree
9.1.2018 11:12;00:35:66:06:0D:59;-84;Unknown;Handsfree
9.1.2018 11:49;9C:8D:7C:BF:40:40;-90;Unknown;Handsfree
9.1.2018 11:59;9C:8D:7C:BF:40:40;-91;Unknown;Handsfree
9.1.2018 12:06;9C:28:BF:3C:A4:16;-87;Continental Automotive Czech Republic s.r.o.;Handsfree
9.1.2018 12:36;00:0E:9F:17:BF:CB;-82;TEMIC SDS GmbH;Handsfree
9.1.2018 12:36;0E:DB:72:FC:62:60;-77;Unknown;Smartphone
9.1.2018 12:36;48:9D:24:00:46:B5;-91;Research In Motion;Smartphone
9.1.2018 12:42;00:0E:9F:2D:41:91;-64;TEMIC SDS GmbH;Handsfree
9.1.2018 12:42;70:8D:09:14:76:43;-84;Nokia Corporation;Smartphone
9.1.2018 12:49;9C:8D:7C:BE:96:7D;-84;Unknown;Handsfree
9.1.2018 13:09;10:92:66:3C:9A:39;-87;Samsung Electronics Co.,Ltd;Smartphone
9.1.2018 13:09;78:9E:D0:40:FC:DB;-86;Samsung Electronics;Smartphone
9.1.2018 13:09;7C:1D:D9:86:A0:4D;-79;XIAOMI IMC;Smartphone
