DATE;MAC;RSSI;VENDOR;CATEGORIE
9.1.2018 8:05;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 8:06;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 8:06;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 8:07;00:35:66:06:0D:59;-84;Unknown;Handsfree
9.1.2018 8:07;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 8:07;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 8:08;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 8:08;00:35:66:06:0D:59;-88;Unknown;Handsfree
9.1.2018 8:09;00:35:66:06:0D:59;-88;Unknown;Handsfree
9.1.2018 8:10;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 8:13;00:35:66:06:0D:59;-83;Unknown;Handsfree
9.1.2018 8:15;00:35:66:06:0D:59;-88;Unknown;Handsfree
9.1.2018 8:15;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 8:16;00:35:66:06:0D:59;-84;Unknown;Handsfree
9.1.2018 8:16;48:9D:24:00:46:B5;-84;Research In Motion;Smartphone
9.1.2018 8:16;9C:28:BF:2A:A7:6E;-86;Continental Automotive Czech Republic s.r.o.;Handsfree
9.1.2018 8:16;00:35:66:06:0D:59;-84;Unknown;Handsfree
9.1.2018 8:16;48:9D:24:00:46:B5;-79;Research In Motion;Smartphone
9.1.2018 8:16;9C:28:BF:2A:A7:6E;-86;Continental Automotive Czech Republic s.r.o.;Handsfree
9.1.2018 8:17;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 8:17;9C:28:BF:2A:A7:6E;-85;Continental Automotive Czech Republic s.r.o.;Handsfree
9.1.2018 8:17;00:35:66:06:0D:59;-83;Unknown;Handsfree
9.1.2018 8:17;48:9D:24:00:46:B5;-70;Research In Motion;Smartphone
9.1.2018 8:18;00:35:66:06:0D:59;-85;Unknown;Handsfree
9.1.2018 8:19;00:35:66:06:0D:59;-83;Unknown;Handsfree
9.1.2018 8:20;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 8:20;00:35:66:06:0D:59;-84;Unknown;Handsfree
9.1.2018 8:21;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 8:21;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 8:21;00:35:66:06:0D:59;-84;Unknown;Handsfree
9.1.2018 8:22;00:35:66:06:0D:59;-86;Unknown;Handsfree
